Case ID,Activity_Declaration APPROVED by ADMINISTRATION,Activity_Declaration APPROVED by BUDGET OWNER,Activity_Declaration APPROVED by PRE_APPROVER,Activity_Declaration FINAL_APPROVED by SUPERVISOR,Activity_Declaration REJECTED by ADMINISTRATION,Activity_Declaration REJECTED by BUDGET OWNER,Activity_Declaration REJECTED by EMPLOYEE,Activity_Declaration REJECTED by MISSING,Activity_Declaration REJECTED by PRE_APPROVER,Activity_Declaration REJECTED by SUPERVISOR,Activity_Declaration SUBMITTED by EMPLOYEE,Activity_Payment Handled,Activity_Request Payment,Resource_STAFF MEMBER,Resource_SYSTEM,id_other,Role_ADMINISTRATION,Role_BUDGET OWNER,Role_EMPLOYEE,Role_MISSING,Role_PRE_APPROVER,Role_SUPERVISOR,Role_UNDEFINED,month_1,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,hour_0,hour_1,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_2,hour_20,hour_21,hour_22,hour_23,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,Segment_Prediction_0,Segment_Prediction_1,C_S1_0.0,C_S1_1.0,C_S2_0.0,C_S2_1.0,C_S3_0.0,C_S3_1.0,duration_mean,duration_max,duration_min,duration_sum,duration_std,elapsed_mean,elapsed_max,elapsed_min,elapsed_sum,elapsed_std,Predicted_Distance_mean,Predicted_Distance_max,Predicted_Distance_min,Predicted_Distance_sum,Predicted_Distance_std,true_value,predicted_value,relative_error
declaration 100000_4,1,0,0,1,0,0,0,0,0,0,1,0,1,3,1,4,1,0,1,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,3,1,3,1,3,1,3650.6749999999997,11558.65,0.0,14602.699999999999,5320.612142248366,588304.75,876162.0,0.0,2353219.0,399228.5625882121,114788.5,276511.0,0.0,459154.0,116096.74116729834,276511.0,202604.45,0.26728248378907166
declaration 100005_4,1,0,0,1,0,0,0,0,0,0,1,0,1,3,1,4,1,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,3,1,3,1,3,1,406.6,1601.1333333333334,0.0,1626.4,796.4440959433142,24775.75,97584.0,0.0,99103.0,48544.08363796766,50285.0,103559.0,0.0,201140.0,57275.62417526907,103559.0,104728.27,0.011290891544916425
declaration 100010_4,1,0,0,1,0,0,0,0,0,0,1,0,1,3,1,4,1,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,3,1,3,1,3,1,405.4666666666667,1601.9,0.0,1621.8666666666668,797.6774782199002,24628.0,97312.0,0.0,98512.0,48459.285370986094,50218.5,103564.0,0.0,200874.0,57379.56238650367,103564.0,104728.27,0.011242067103433626
declaration 100015_4,1,1,0,1,0,0,0,0,0,0,1,0,0,4,0,4,1,1,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,0,3,1,4,0,686.9124999999999,1523.5333333333333,0.0,2747.6499999999996,802.5164368196708,64069.25,164859.0,0.0,256277.0,79824.21715400659,19326.0,77304.0,0.0,77304.0,38652.0,369400.0,322358.94,0.12734451136978886
declaration 100021_4,1,1,0,1,0,0,0,0,0,0,1,0,0,4,0,4,1,1,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,3,1,4,0,395.03749999999997,1442.4833333333331,0.0,1580.1499999999999,700.9899787119853,25842.5,94809.0,0.0,103370.0,46136.48396153887,150140.5,600562.0,0.0,600562.0,300281.0,965116.0,758590.2,0.2139906627804326
declaration 100027_4,1,0,0,1,0,0,0,0,0,0,1,0,1,3,1,4,1,0,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,3,1,3,1,3,1,2554.854166666667,5685.383333333333,0.0,10219.416666666668,2984.5553480275444,238735.0,613165.0,0.0,954940.0,296974.32111323474,244874.5,366659.0,0.0,979498.0,168106.34041681275,366659.0,307907.62,0.16023437308234625
declaration 100032_4,1,0,0,1,0,0,0,0,0,0,1,0,1,3,1,4,1,0,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,1,3,1,3,1,1753.8625000000002,5473.283333333334,0.0,7015.450000000001,2583.9145461723956,128369.75,420927.0,0.0,513479.0,199855.08904599687,156550.25,328397.0,0.0,626201.0,142029.1568525632,205296.0,186914.05,0.08953877876334658
declaration 100037_4,1,0,0,1,0,0,0,0,0,0,1,0,1,3,1,4,1,0,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,1,3,1,3,1,1905.3083333333334,7470.05,0.0,7621.233333333334,3710.492770321903,116608.0,457274.0,0.0,466432.0,227150.53674454158,154103.0,448203.0,0.0,616412.0,209227.39117524744,159225.0,197651.19,0.24133262678599465
declaration 100042_4,1,1,0,1,0,0,0,0,0,0,1,0,0,4,0,4,1,1,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,4,0,3,1,4,0,3470.125,9715.166666666666,0.0,13880.5,4603.130210067203,270689.25,832830.0,0.0,1082757.0,392842.26482001226,23987.75,95951.0,0.0,95951.0,47975.5,303323.0,307224.22,0.012861598856664347
declaration 100048_4,1,0,0,1,0,0,0,0,0,0,1,0,1,3,1,4,1,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1,3,1,3,1,316.62916666666666,1219.2166666666667,0.0,1266.5166666666667,602.064407834042,19752.25,75991.0,0.0,79009.0,37514.94459878623,132639.25,454746.0,0.0,530557.0,217393.3978810074,454746.0,367985.03,0.19078995472197666
declaration 100053_4,1,1,0,1,0,0,0,0,0,0,1,0,0,4,0,4,1,1,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,4,0,3,1,4,0,2385.5166666666664,9514.15,0.0,9542.066666666666,4752.440215592173,143551.5,572524.0,0.0,574206.0,285982.7521844631,1609038.25,6436153.0,0.0,6436153.0,3218076.5,6610535.0,4435796.0,0.3289807859726936
declaration 100059_4,1,0,0,1,0,0,0,0,0,0,1,0,1,3,1,4,1,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,3,1,3,1,3,1,1004.5458333333332,4003.2166666666662,0.0,4018.183333333333,1999.1262145124615,120322.5,241091.0,0.0,481290.0,138935.2039393424,132456.5,288738.0,0.0,529826.0,153714.25150692218,288738.0,249997.38,0.13417224265597186
declaration 100064_4,1,0,0,1,0,0,0,0,0,0,1,0,1,3,1,4,1,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,3,1,3,1,3,1,1004.2625,4001.55,0.0,4017.05,1998.2049399201514,120280.0,241023.0,0.0,481120.0,138886.7427774636,132439.75,288738.0,0.0,529759.0,153681.48116233785,288738.0,249997.38,0.13417224265597186
