Case ID,Activity_Declaration APPROVED by ADMINISTRATION,Activity_Declaration APPROVED by BUDGET OWNER,Activity_Declaration APPROVED by PRE_APPROVER,Activity_Declaration FINAL_APPROVED by SUPERVISOR,Activity_Declaration REJECTED by ADMINISTRATION,Activity_Declaration REJECTED by BUDGET OWNER,Activity_Declaration REJECTED by EMPLOYEE,Activity_Declaration REJECTED by MISSING,Activity_Declaration REJECTED by PRE_APPROVER,Activity_Declaration REJECTED by SUPERVISOR,Activity_Declaration SUBMITTED by EMPLOYEE,Activity_Payment Handled,Activity_Request Payment,Resource_STAFF MEMBER,Resource_SYSTEM,id_other,Role_ADMINISTRATION,Role_BUDGET OWNER,Role_EMPLOYEE,Role_MISSING,Role_PRE_APPROVER,Role_SUPERVISOR,Role_UNDEFINED,month_1,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,hour_0,hour_1,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_2,hour_20,hour_21,hour_22,hour_23,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,Segment_Prediction_0,Segment_Prediction_1,C_S1_0.0,C_S1_1.0,C_S2_0.0,C_S2_1.0,C_S3_0.0,C_S3_1.0,duration_mean,duration_max,duration_min,duration_sum,duration_std,elapsed_mean,elapsed_max,elapsed_min,elapsed_sum,elapsed_std,Predicted_Distance_mean,Predicted_Distance_max,Predicted_Distance_min,Predicted_Distance_sum,Predicted_Distance_std,true_value,predicted_value,relative_error
declaration 100015_6,1,1,0,1,0,0,0,0,0,0,1,1,1,4,2,6,1,1,1,0,0,1,2,3,0,0,0,3,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,6,0,5,1,5,1,1484.0527777777777,4868.266666666666,0.0,8904.316666666666,1786.8974250986187,172116.5,534259.0,0.0,1032699.0,200930.95945199684,61566.666666666664,292096.0,0.0,369400.0,117092.48905487776,0.0,2.3537593,0.2942199110984802
declaration 100021_6,1,1,0,1,0,0,0,0,0,0,1,1,1,4,2,6,1,1,1,0,0,1,2,3,0,0,0,3,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,0,5,1,5,1,2944.2361111111113,10009.366666666669,0.0,17665.416666666668,4175.911961867554,309777.6666666667,1059925.0,0.0,1858666.0,456128.4208104848,160852.66666666666,600562.0,0.0,965116.0,260127.9886968464,0.0,2.3537593,0.2942199110984802
declaration 100042_6,1,1,0,1,0,0,0,0,0,0,1,1,1,4,2,6,1,1,1,0,0,1,2,0,0,0,0,0,0,4,2,0,0,0,0,2,1,0,1,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,2,6,0,5,1,5,1,3155.9805555555554,9715.166666666666,0.0,18935.88333333333,3646.2287209209076,524615.1666666666,1136153.0,0.0,3147691.0,501640.7403987107,50553.833333333336,207372.0,0.0,303323.0,85878.51931284486,0.0,2.3537593,0.2942199110984802
declaration 100053_6,1,1,0,1,0,0,0,0,0,0,1,1,1,4,2,6,1,1,1,0,0,1,2,0,0,0,0,0,0,4,0,0,2,0,0,0,1,0,1,4,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,6,0,5,1,5,1,19952.941666666666,107269.21666666666,0.0,119717.65,42934.67677213159,2460990.3333333335,7183059.0,0.0,14765942.0,3597411.1774858134,1101755.8333333333,6436153.0,0.0,6610535.0,2614240.9614887773,0.0,41299.35,5162.4189453125
declaration 100079_6,1,1,0,1,0,0,0,0,0,0,1,1,1,4,2,6,1,1,1,0,0,1,2,0,0,0,0,0,0,6,0,0,0,0,0,2,1,0,1,2,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,2,6,0,5,1,5,1,2429.586111111111,6316.283333333334,0.0,14577.516666666666,2473.321392994913,326078.0,874651.0,0.0,1956468.0,331107.61271284596,89473.16666666667,378977.0,0.0,536839.0,155249.0207716837,0.0,2.3537593,0.2942199110984802
declaration 100105_6,1,1,0,1,0,0,0,0,0,0,1,1,1,4,2,6,1,1,1,0,0,1,2,0,0,0,0,0,0,3,3,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4,2,6,0,5,1,5,1,3818.5222222222224,11588.366666666669,0.0,22911.133333333335,4727.621108545287,762111.1666666666,1374668.0,0.0,4572667.0,445134.9448670219,87182.83333333333,464940.0,0.0,523097.0,186518.82568836494,0.0,2.3537593,0.2942199110984802
declaration 100116_6,1,1,0,1,0,0,0,0,0,0,1,1,1,4,2,6,1,1,1,0,0,1,2,0,0,0,0,0,0,6,0,0,0,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,2,6,0,5,1,5,1,1027.95,3304.7,0.0,6167.7,1317.0509054533752,133010.5,370062.0,0.0,798063.0,139222.48010540538,33047.166666666664,198282.0,0.0,198283.0,80948.20588108587,0.0,2.3537593,0.2942199110984802
declaration 100122_6,1,1,0,0,1,0,1,0,0,0,2,0,0,6,0,6,2,1,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,6,0,6,0,6,0,247.27777777777783,1398.0166666666669,0.0,1483.666666666667,564.5758496100971,57017.166666666664,89020.0,0.0,342103.0,44093.89427762835,0.0,0.0,0.0,0.0,0.0,280865.0,784018.6,1.7914429530201341
declaration 100131_6,1,1,0,1,0,0,0,0,0,0,1,1,1,4,2,6,1,1,1,0,0,1,2,0,0,0,0,0,0,6,0,0,0,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,2,6,0,5,1,5,1,1026.5,3304.7166666666667,0.0,6159.0,1316.6509999911814,132679.16666666666,369540.0,0.0,796075.0,139019.56955107677,33047.333333333336,198283.0,0.0,198284.0,80948.61412937634,0.0,2.3537593,0.2942199110984802
declaration 100137_6,1,1,0,1,0,0,0,0,0,0,1,1,1,4,2,6,1,1,1,0,0,1,2,0,0,0,0,0,0,4,2,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,4,2,6,0,5,1,5,1,2704.972222222222,9746.766666666666,0.0,16229.833333333332,3677.552938491492,416116.6666666667,973790.0,0.0,2496700.0,436716.36251812987,50554.166666666664,207374.0,0.0,303325.0,85879.24973220637,0.0,2.3537593,0.2942199110984802
