Case ID,Activity_Declaration APPROVED by ADMINISTRATION,Activity_Declaration APPROVED by BUDGET OWNER,Activity_Declaration APPROVED by PRE_APPROVER,Activity_Declaration FINAL_APPROVED by SUPERVISOR,Activity_Declaration REJECTED by ADMINISTRATION,Activity_Declaration REJECTED by BUDGET OWNER,Activity_Declaration REJECTED by EMPLOYEE,Activity_Declaration REJECTED by MISSING,Activity_Declaration REJECTED by PRE_APPROVER,Activity_Declaration REJECTED by SUPERVISOR,Activity_Declaration SAVED by EMPLOYEE,Activity_Declaration SUBMITTED by EMPLOYEE,Activity_Payment Handled,Activity_Request Payment,Activity_other,Resource_STAFF MEMBER,Resource_SYSTEM,id_other,Role_ADMINISTRATION,Role_BUDGET OWNER,Role_EMPLOYEE,Role_MISSING,Role_PRE_APPROVER,Role_SUPERVISOR,Role_UNDEFINED,month_1,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,hour_0,hour_1,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_2,hour_20,hour_21,hour_22,hour_23,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,Segment_Prediction_0,Segment_Prediction_1,C_S1_0.0,C_S1_1.0,C_S2_0.0,C_S2_1.0,C_S3_0.0,C_S3_1.0,duration_mean,duration_max,duration_min,duration_sum,duration_std,elapsed_mean,elapsed_max,elapsed_min,elapsed_sum,elapsed_std,Predicted_Distance_mean,Predicted_Distance_max,Predicted_Distance_min,Predicted_Distance_sum,Predicted_Distance_std,true_value,predicted_value,relative_error
declaration 100000_3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,1,2,1,3,0,4352.988888888889,11558.65,0.0,13058.966666666667,6285.212928867541,492352.3333333333,783538.0,0.0,1477057.0,428758.6386235656,60881.0,92624.0,0.0,182643.0,52740.57856148338,369135.0,355477.88,0.0369976431386891
declaration 100005_3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,1,2,1,3,0,8.422222222222222,25.216666666666665,0.0,25.266666666666666,14.544437017229239,506.3333333333333,1516.0,0.0,1519.0,874.3982692877047,32527.0,96068.0,0.0,97581.0,55033.31993438157,199627.0,312730.9,0.5665761958552701
declaration 100010_3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,1,2,1,3,0,6.655555555555558,19.933333333333337,0.0,19.966666666666672,11.498904939811219,400.0,1198.0,0.0,1200.0,691.0889957161812,32436.666666666668,96114.0,0.0,97310.0,55149.430544053066,199678.0,312730.9,0.5661760747303158
declaration 100015_3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,507.8611111111111,1523.5333333333333,0.0,1523.5833333333333,879.597946717914,30472.666666666668,91415.0,0.0,91418.0,52777.60885388171,0.0,0.0,0.0,0.0,0.0,442844.0,697600.44,0.5752735444084147
declaration 100021_3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,45.88888888888889,132.65,0.0,137.66666666666669,75.17918287024034,2853.6666666666665,8260.0,0.0,8561.0,4684.440236926215,0.0,0.0,0.0,0.0,0.0,1051665.0,680695.06,0.3527453490417576
declaration 100027_3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,1,2,1,3,0,1896.9388888888889,5685.383333333333,0.0,5690.816666666667,3280.890254452175,113925.0,341449.0,0.0,341775.0,197041.6313904247,204279.66666666666,341123.0,0.0,612839.0,180283.02630123927,638375.0,448214.0,0.29788290581554727
declaration 100032_3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,1,3,0,514.0555555555555,1541.8,0.0,1542.1666666666665,890.05281636874,30850.666666666668,92530.0,0.0,92552.0,53415.87068777718,140301.66666666666,328397.0,0.0,420905.0,169334.9442151068,533693.0,458635.72,0.14063755988929966
declaration 100037_3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,1,3,0,50.39444444444444,149.73333333333332,0.0,151.1833333333333,86.03305620085374,3052.6666666666665,9071.0,0.0,9158.0,5212.211079123075,152395.66666666666,448203.0,0.0,457187.0,256216.04536861728,607428.0,585563.1,0.03599582995844775
declaration 100042_3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,3,0,3,0,1388.4444444444443,4165.216666666666,0.0,4165.333333333333,2404.755285674923,83309.0,249920.0,0.0,249927.0,144289.35859237853,0.0,0.0,0.0,0.0,0.0,886233.0,673833.06,0.23966602180239283
declaration 100048_3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,1,3,0,15.766666666666666,44.3,0.0,47.3,24.75607669509313,1006.0,2838.0,0.0,3018.0,1589.1091844174837,25270.333333333332,73153.0,0.0,75811.0,41488.896904272275,527899.0,311547.2,0.409835617229811
